USER,FRIENDCOUNT
F1,482
F2,357
F3,2143
F4,1250
F5,907
F6,256
F7,1757
F8,635
F9,266
F10,323
F11,55
F12,253
F13,457
F14,139
F15,266
F16,949
F17,537
F18,431
F19,579
F20,595
F21,654
F22,748
F23,127
F24,984
F25,155
F26,195
F27,283
F28,3955
F29,356
F30,1931
F31,361
F32,383
F33,571
F34,993
F35,467
F36,561
F37,643
F38,348
F39,339
F40,397
F41,434
F42,510
F43,167
F44,821
F45,325
F46,758
F47,122
F48,205
F49,322
F50,135
F51,851
F52,1446
F53,48
F54,776
F55,450
F56,1559
F57,287
F58,708
F59,108
F60,536
F61,495
F62,85
F63,238
F64,693
F65,827
F66,474
F67,360
F68,633
F69,577
F70,225
F71,261
F72,320
F73,707
F74,146
F75,191
F76,311
F77,591
F78,76
F79,486
F80,1
F81,51
F82,395
F83,290
F84,389
F85,267
F86,1145
F87,68
F88,20
F89,705
F90,94
F91,451
F92,627
F93,1427
F94,40
F95,393
F96,210
F97,341
F98,916
