USER FOLLOWERS
1 4
2 9
3 18
4 23
5 29
6 39
7 40
8 46
9 60
10 62
11 66
12 83
13 87
14 87
15 106
16 108
17 135
18 148
19 159
20 182
21 205
22 238
23 238
24 252
25 275
26 306
27 350
28 355
29 435
30 438
31 466
32 585
33 600
34 614
35 618
36 638
37 675
38 701
39 752
40 835
41 837
42 1084
43 1313
44 2627
45 2903
46 7891
47 14000
48 18700
49 23600
50 50100
51 103000
52 112000
53 219969
54 597366
55 652000
56 907000
57 1050000
58 1130000
59 1170000
60 1170000
61 1600000
62 2030000
63 3360000
